City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,69.58,82,100,1.63,US,2022-09-11 21:26:03
1,Coihaique,-45.5752,-72.0662,49.95,53,100,6.91,CL,2022-09-11 21:32:31
2,Rincon,32.296,-81.2354,85.91,87,86,8.46,US,2022-09-11 21:32:31
3,Hailey,43.5196,-114.3153,83.98,20,0,6.91,US,2022-09-11 21:32:31
4,Vila Velha,-20.3297,-40.2925,71.55,85,100,16.11,BR,2022-09-11 21:32:32
5,Pochutla,15.7432,-96.4661,81.82,77,100,2.17,MX,2022-09-11 21:32:32
6,Lieksa,63.3167,30.0167,51.6,76,100,8.41,FI,2022-09-11 21:32:33
7,Atar,20.5169,-13.0499,97.93,26,34,6.93,MR,2022-09-11 21:32:33
8,Aklavik,68.2191,-135.0107,42.3,86,100,1.77,CA,2022-09-11 21:32:34
9,Busselton,-33.65,115.3333,57.67,87,58,7.85,AU,2022-09-11 21:29:06
10,Arraial Do Cabo,-22.9661,-42.0278,67.96,73,100,8.05,BR,2022-09-11 21:32:34
11,Pimentel,-6.8367,-79.9342,66.49,68,0,21.85,PE,2022-09-11 21:32:35
12,Sao Filipe,14.8961,-24.4956,78.51,81,27,11.14,CV,2022-09-11 21:31:58
13,Cabo San Lucas,22.8909,-109.9124,90.61,70,20,12.66,MX,2022-09-11 21:30:02
14,Kapaa,22.0752,-159.319,84.52,65,20,11.5,US,2022-09-11 21:29:17
15,Alekseyevka,50.6309,38.6903,59.36,30,100,14.61,RU,2022-09-11 21:32:36
16,Barrow,71.2906,-156.7887,35.62,93,100,17.27,US,2022-09-11 21:27:10
17,Karpogory,64.0019,44.4451,45.05,94,99,4.81,RU,2022-09-11 21:32:36
18,Mataura,-46.1927,168.8643,48.47,69,100,1.99,NZ,2022-09-11 21:29:09
19,Bluff,-46.6,168.3333,48.79,68,100,7.99,NZ,2022-09-11 21:30:25
20,Salalah,17.0151,54.0924,78.89,100,75,5.75,OM,2022-09-11 21:32:37
21,Lorengau,-2.0226,147.2712,81.23,79,95,8.01,PG,2022-09-11 21:30:27
22,Kavieng,-2.5744,150.7967,82.6,64,29,14.23,PG,2022-09-11 21:30:31
23,East London,-33.0153,27.9116,61.34,75,100,18.34,ZA,2022-09-11 21:29:10
24,Bethel,41.3712,-73.414,71.91,84,100,4.61,US,2022-09-11 21:30:31
